Business ID,Business,City,State,Zip,Phone,TOB,Dues,Plan,AB Status,Established,Joined,Dropped on,Why,Rating,Inq 1Year,Inq 3Year
90048902,Ada Vapors,Ada,OK,74820,(580) 235-9833,Electronic Cigarettes,$474.00 ,,Resigned,5/10/2013,8/9/2016,10/12/2016,Resignation,A+,8,12
90055840,Greg's Lawn Care and Home Improvement,Oklahoma City,OK,73127,(405) 625-1866,Lawn Maintenance,$474.00 ,PP,Cancelled -Non-Payment,4/1/2016,1/29/2018,8/15/2018,"Cancelled, nonpayment of dues",A+,44,88
90046496,Off The Hook Seafood & More LLC,Oklahoma City,OK,73114,(405) 840-3474,Seafood Retail,$474.00 ,,Cancelled -Non-Payment,1/14/2013,4/19/2016,9/1/2016,"Cancelled, nonpayment of dues",A+,9,13
90051083,Pet Wants Edmond,Edmond,OK,73012,(405) 397-9690,Pet Supplies,$474.00 ,PP,Resigned,2/3/2016,4/10/2017,2/4/2019,Out of Business,NR,67,137
90028956,1-800-EZ PAY CASH,Oklahoma City,OK,73162,(800) 397-2922,Real Estate Investing,$450.00 ,,Not Accredited,2/1/2010,12/5/2012,2/10/2014,"Cancelled, nonpayment of dues",A+,5,9
9001178,10GYM,Oklahoma City,OK,73132,(918) 307-2495,Exercise Programs,$607.00 ,,Not Accredited,1/1/1982,9/17/1998,12/20/2013,Advertising Issues,A+,1638,3039
90018521,"1st American Roofing, Inc.",Oklahoma City,OK,73159,(405) 601-8989,Roofing Contractors,$600.00 ,,Not Accredited,12/9/1998,5/12/2010,1/23/2015,Revoked,NR,58,179
90013327,1st Sunshine Roofing,Oklahoma City,OK,73112,(405) 557-2552,Roofing Contractors,$414.00 ,,Not Accredited,1/1/2002,2/20/2009,6/28/2011,"Cancelled, nonpayment of dues",NR,16,31
90033194,"1Stop Auto Shop, LLC",Oklahoma City,OK,73122,(405) 470-7888,Auto Repair,$450.00 ,,Not Accredited,1/1/2012,11/4/2013,10/12/2016,Termination - Expelled,A+,27,97
90010524,"2 K Country Homes, LLC",Tuttle,OK,73089,(405) 381-5442,Home Builders,$629.00 ,,Not Accredited,1/1/2006,7/15/2008,11/13/2013,No Benefit/Value,A+,19,57
7002143,21st Century Home Health Agency,Edmond,OK,73013,(405) 348-3459,Home Health Care,$656.25 ,,Not Accredited,9/1/1997,1/13/2004,4/4/2005,"Cancelled, nonpayment of dues",A+,23,157
90018735,21st Century Painting and Roofing,Warr Acres,OK,73122,(405) 789-0404,Roofing Contractors,$489.00 ,,Not Accredited,1/1/1996,9/27/1998,4/17/2012,"Cancelled, nonpayment of dues",A+,46,91
90052408,24/7 Restoration,Shawnee,OK,74804,(918) 694-9142,Water Damage Restoration,$519.00 ,PP,Cancelled -Non-Payment,1/1/2012,5/25/2017,4/8/2019,"Cancelled, nonpayment of dues",A+,25,59
90006358,"247 Graphx Studios, Inc.",Oklahoma City,OK,73115,(405) 677-7775,Signs,$553.00 ,,Not Accredited,8/21/2007,8/21/2007,12/13/2013,"Cancelled, nonpayment of dues",A+,16,26
90054308,24hr Fire and Flood,Norman,OK,73072,(405) 535-9177,Fire and Water Damage Restoration,$474.00 ,PP,Cancelled -Non-Payment,12/1/2016,10/13/2017,10/30/2018,"Cancelled, nonpayment of dues",NR,26,43
90019699,"3 D Farms & Machines, LLC",Weatherford,OK,73096,(580) 772-5543,Metal Fabrication,$464.00 ,,Not Accredited,1/1/2000,8/15/2010,3/5/2013,"Cancelled, nonpayment of dues",A+,6,13
90006660,3 D's Roofing & Metal,Oklahoma City,OK,73129,(405) 635-9779,Roofing Contractors,$551.00 ,,Not Accredited,1/1/1999,8/15/2010,3/5/2013,"Cancelled, nonpayment of dues",F,105,168
90033609,"360 Roofing & Construction, Inc.",Oklahoma City,OK,73109,(405) 602-2112,Roofing Equipment,$450.00 ,,Resigned,3/19/2003,3/26/2014,3/1/2017,Out of Business,NR,43,208
90054387,"37 U Store, LLC",Newcastle,OK,73065,(405) 387-3737,Storage Units,$474.00 ,PP,Resigned,7/14/2009,10/27/2017,2/21/2019,Ownership Change,A+,3,10
90062281,373 Farm and Ranch Equipment,Piedmont,OK,73078,(405) 620-3498,Farm Equipment,$474.00 ,PP,Resigned,9/25/2016,10/23/2018,1/15/2019,Resignation,A,3,3
90054497,"3P Field Services, LLC",Lawton,OK,73501,(580) 583-7321,Home Inspection,$474.00 ,PP,Resigned,2/24/2017,11/22/2017,2/16/2018,Out of Business,A,83,113
90012113,4 Him Construction,Moore,OK,73160,(405) 863-2543,General Contractor,$394.00 ,,Not Accredited,1/1/2007,11/3/2008,8/3/2010,"Cancelled, nonpayment of dues",A+,15,31
